Month,Active_Users,Ad_Spend,Churn_Rate,In_App_Revenue,Monthly_Revenue
Jan,12000,5000,4.5,2000,55000
Feb,12500,5200,4.3,2300,57000
Mar,13000,5400,4.2,2500,59000
Apr,12800,5500,4.0,2600,60000
May,13500,5600,3.8,2800,62000
Jun,14000,6000,3.7,3000,64000
Jul,14500,6200,3.5,3200,66000
Aug,15000,6400,3.3,3400,68500
Sep,14800,6300,3.4,3300,67500
Oct,15500,6500,3.2,3500,70000
Nov,16000,6800,3.0,3700,72500
Dec,16500,7000,2.9,4000,75000
Jan,17000,7200,2.8,4200,77000
Feb,17200,7300,2.7,4300,78000
Mar,17500,7400,2.6,4400,79000
Apr,18000,7500,2.5,4600,81000
May,18500,7600,2.4,4800,83000
Jun,19000,7700,2.3,5000,85000
Jul,19500,7800,2.2,5200,87000
Aug,20000,8000,2.1,5400,89000
